transaction_id,amount,time_of_day,day_of_week,merchant_category,customer_history,avg_transaction_value,location_distance,is_fraud,timestamp
1,46.92680899768591,22,1,Online,9,19.08849589401686,22.268288491202178,0,2024-01-01 00:00:00
2,301.0121430917521,3,2,Food,74,31.626542370577166,9.70553353589943,0,2024-01-01 01:00:00
3,131.67456935454493,17,0,Entertainment,10,12.521155683046887,4.061618162964889,0,2024-01-01 02:00:00
4,91.29425537759532,4,0,Entertainment,52,36.276666888766336,6.771408426133093,0,2024-01-01 03:00:00
5,16.962487046234628,15,6,Entertainment,45,51.53962878357478,5.871296036469108,0,2024-01-01 04:00:00
6,16.959629191460518,13,4,Travel,52,103.93142725567526,5.999376011348664,0,2024-01-01 05:00:00
7,5.983876860868068,18,3,Food,30,11.878646408638344,3.7339945650515065,0,2024-01-01 06:00:00
8,201.12308644799396,13,2,Retail,64,18.5941450797641,10.022770461623125,0,2024-01-01 07:00:00
9,91.90821536272645,8,1,Online,97,26.02700627993459,0.5365121990449907,0,2024-01-01 08:00:00
10,123.12500617045903,5,6,Travel,2,12.715380360127046,21.729903371436677,0,2024-01-01 09:00:00
11,2.0799307999138623,16,5,Food,49,20.17635466330652,5.368222391967191,0,2024-01-01 10:00:00
12,350.3557475158312,18,0,Online,96,107.42908688037025,16.13759580190984,0,2024-01-01 11:00:00
13,178.6429543354675,11,0,Retail,45,7.4629958239024585,13.074529191647237,0,2024-01-01 12:00:00
14,23.8687625248947,3,0,Online,17,29.326655975326666,6.3837803806546045,0,2024-01-01 13:00:00
15,20.067898874966335,15,3,Entertainment,28,18.623303923427844,2.2153305564041337,0,2024-01-01 14:00:00
16,20.261142283225706,10,3,Entertainment,45,4.015226192892368,8.260197904225546,0,2024-01-01 15:00:00
17,36.27537294604771,21,2,Travel,17,5.053228332087651,29.57902250031745,0,2024-01-01 16:00:00
18,74.39278308608544,3,5,Online,59,76.8279430101397,2.0551542211792584,0,2024-01-01 17:00:00
19,56.55370667803366,16,1,Entertainment,14,95.63978353014649,2.9573097172076372,0,2024-01-01 18:00:00
20,34.42229925539415,7,3,Travel,10,67.62511022285082,49.62624907701383,0,2024-01-01 19:00:00
21,94.63708738997987,13,4,Travel,98,38.742711176826646,22.30924880132052,0,2024-01-01 20:00:00
22,15.023452872733866,1,3,Travel,78,74.06531160309139,7.975078628839086,0,2024-01-01 21:00:00
23,34.551551200240226,10,0,Retail,81,8.244661277469659,11.865952977614565,0,2024-01-01 22:00:00
24,45.6277218220847,10,1,Entertainment,86,75.75222595481644,5.8530195097856215,0,2024-01-01 23:00:00
25,60.893468785977504,23,2,Entertainment,18,27.536847725486307,5.176701216092149,0,2024-01-02 00:00:00
26,153.7936011030912,21,3,Food,35,69.37786478030077,5.855267939441438,0,2024-01-02 01:00:00
27,22.273586212869027,23,0,Retail,48,12.922308150364225,5.351465837487059,0,2024-01-02 02:00:00
28,72.20291550331277,5,6,Entertainment,58,89.35155947817009,11.256392842519265,0,2024-01-02 03:00:00
29,89.75047213097605,20,4,Entertainment,18,41.979975450137744,4.011593298635367,0,2024-01-02 04:00:00
30,4.756384975640855,20,4,Food,52,0.36822811477330575,1.8726544529261326,0,2024-01-02 05:00:00
31,429.6927346971185,3,6,Travel,2,36.62218031520708,76.63642838666078,1,2024-01-02 06:00:00
32,18.696125197741644,9,2,Online,37,18.57344030441017,0.317977596945358,0,2024-01-02 07:00:00
33,6.726393087930424,7,2,Retail,40,2.9610667567878424,12.685232327930008,0,2024-01-02 08:00:00
34,297.3687793506931,6,3,Travel,6,29.647863482398627,3.054981002167936,0,2024-01-02 09:00:00
35,337.06303424611724,7,2,Food,79,18.65983070734912,2.1103327922837436,0,2024-01-02 10:00:00
36,165.23315728128767,7,5,Food,35,11.432318447799762,4.7635442628980655,0,2024-01-02 11:00:00
37,36.32878599687583,22,5,Entertainment,26,21.471653108712385,1.2499644590532037,0,2024-01-02 12:00:00
38,49.97103852907403,0,0,Travel,6,9.89860244018576,29.549198191846404,1,2024-01-02 13:00:00
39,115.27507630986618,15,0,Food,30,17.82032478604173,1.0794354007160396,0,2024-01-02 14:00:00
40,58.009084258539836,8,0,Travel,75,6.127276613471513,6.6065817684583905,0,2024-01-02 15:00:00
41,13.015223395444863,12,5,Online,24,4.404011412518633,1.937907768580383,0,2024-01-02 16:00:00
42,68.35472281341501,22,3,Retail,55,120.4080742134588,1.3925814231110363,0,2024-01-02 17:00:00
43,3.4993721443479084,11,3,Online,78,116.53163951673235,8.653828826936563,0,2024-01-02 18:00:00
44,240.04228873930236,21,2,Retail,87,88.01455137055525,9.814829344833486,0,2024-01-02 19:00:00
45,29.94577768406861,16,3,Travel,9,13.089381260526785,0.05532818707603701,0,2024-01-02 20:00:00
46,108.62557985649804,1,0,Food,62,64.71140098272514,4.90496045151705,0,2024-01-02 21:00:00
47,37.354658165762366,12,1,Travel,18,44.544812461144836,0.8116243187761505,0,2024-01-02 22:00:00
